INFO:root:__init__
INFO:root:setup
INFO:root:start
INFO:root:connected
INFO:root:subscribed to topic=usuario/actuator_pwm
INFO:root:send message: {"temperature": 30.26409619165871}
INFO:root:send message: {"temperature": 30.31927589013806}
INFO:root:send message: {"temperature": 30.37438059523453}
INFO:root:send message: {"temperature": 30.429410408869813}
INFO:root:send message: {"temperature": 30.484365432827055}
INFO:root:send message: {"temperature": 30.539245768751094}
INFO:root:send message: {"temperature": 30.59405151814861}
INFO:root:send message: {"temperature": 30.648782782388334}
INFO:root:send message: {"temperature": 30.703439662701225}
INFO:root:send message: {"temperature": 30.75802226018067}
INFO:root:send message: {"temperature": 30.81253067578265}
INFO:root:send message: {"temperature": 30.86696501032595}
INFO:root:send message: {"temperature": 30.921325364492333}
INFO:root:send message: {"temperature": 30.975611838826715}
INFO:root:send message: {"temperature": 31.02982453373739}
INFO:root:send message: {"temperature": 31.08396354949617}
INFO:root:send message: {"temperature": 31.138028986238577}
INFO:root:send message: {"temperature": 31.19202094396408}
INFO:root:send message: {"temperature": 31.245939522536215}
INFO:root:send message: {"temperature": 31.299784821682785}
INFO:root:send message: {"temperature": 31.35355694099609}
INFO:root:send message: {"temperature": 31.407255979933048}
INFO:root:send message: {"temperature": 31.460882037815413}
INFO:root:send message: {"temperature": 31.514435213829962}
INFO:root:send message: {"temperature": 31.56791560702867}
INFO:root:send message: {"temperature": 31.621323316328876}
INFO:root:send message: {"temperature": 31.674658440513504}
INFO:root:send message: {"temperature": 31.727921078231212}
INFO:root:send message: {"temperature": 31.781111327996587}
INFO:root:send message: {"temperature": 31.83422928819033}
INFO:root:send message: {"temperature": 31.88727505705944}
INFO:root:send message: {"temperature": 31.940248732717386}
INFO:root:send message: {"temperature": 31.99315041314429}
INFO:root:send message: {"temperature": 32.04598019618711}
INFO:root:send message: {"temperature": 32.098738179559845}
INFO:root:send message: {"temperature": 32.15142446084366}
INFO:root:send message: {"temperature": 32.204039137487115}
INFO:root:send message: {"temperature": 32.256582306806344}
INFO:root:send message: {"temperature": 32.3090540659852}
INFO:root:send message: {"temperature": 32.36145451207546}
INFO:root:send message: {"temperature": 32.41378374199702}
INFO:root:send message: {"temperature": 32.46604185253802}
INFO:root:send message: {"temperature": 32.51822894035509}
INFO:root:send message: {"temperature": 32.57034510197346}
INFO:root:send message: {"temperature": 32.622390433787224}
INFO:root:send message: {"temperature": 32.674365032059434}
INFO:root:send message: {"temperature": 32.726268992922314}
INFO:root:send message: {"temperature": 32.77810241237745}
INFO:root:send message: {"temperature": 32.82986538629596}
INFO:root:send message: {"temperature": 32.88155801041864}
INFO:root:send message: {"temperature": 32.933180380356184}
INFO:root:send message: {"temperature": 32.98473259158935}
INFO:root:send message: {"temperature": 33.036214739469116}
INFO:root:send message: {"temperature": 33.08762691921687}
INFO:root:send message: {"temperature": 33.13896922592462}
INFO:root:send message: {"temperature": 33.19024175455509}
INFO:root:send message: {"temperature": 33.24144459994197}
INFO:root:send message: {"temperature": 33.292577856790054}
INFO:root:send message: {"temperature": 33.343641619675424}
INFO:root:send message: {"temperature": 33.394635983045646}
INFO:root:send message: {"temperature": 33.4455610412199}
INFO:root:send message: {"temperature": 33.496416888389184}
INFO:root:send message: {"temperature": 33.54720361861649}
INFO:root:send message: {"temperature": 33.59792132583697}
INFO:root:send message: {"temperature": 33.64857010385812}
INFO:root:send message: {"temperature": 33.69915004635992}
INFO:root:send message: {"temperature": 33.749661246895045}
INFO:root:send message: {"temperature": 33.80010379888903}
INFO:root:send message: {"temperature": 33.850477795640444}
INFO:root:send message: {"temperature": 33.90078333032103}
INFO:root:send message: {"temperature": 33.951020495975925}
INFO:root:send message: {"temperature": 34.00118938552381}
INFO:root:send message: {"temperature": 34.051290091757075}
INFO:root:send message: {"temperature": 34.10132270734199}
INFO:root:send message: {"temperature": 34.10132270734199}
INFO:root:send message: {"temperature": 34.087190750229915}
INFO:root:send message: {"temperature": 34.07307856401493}
INFO:root:send message: {"temperature": 34.05898612103716}
INFO:root:send message: {"temperature": 34.04491339367541}
INFO:root:send message: {"temperature": 34.03086035434712}
INFO:root:send message: {"temperature": 34.01682697550834}
INFO:root:send message: {"temperature": 34.00281322965364}
INFO:root:send message: {"temperature": 33.98881908931607}
INFO:root:send message: {"temperature": 33.97484452706711}
INFO:root:send message: {"temperature": 33.96088951551662}
INFO:root:send message: {"temperature": 33.96088951551662}
INFO:root:send message: {"temperature": 34.028155320837435}
INFO:root:send message: {"temperature": 34.09532298973949}
INFO:root:send message: {"temperature": 34.16239266539744}
INFO:root:send message: {"temperature": 34.229364490777}
INFO:root:send message: {"temperature": 34.29623860863536}
INFO:root:send message: {"temperature": 34.36301516152141}
INFO:root:send message: {"temperature": 34.429694291776066}
INFO:root:send message: {"temperature": 34.4962761415326}
INFO:root:send message: {"temperature": 34.56276085271689}
INFO:root:send message: {"temperature": 34.62914856704779}
INFO:root:send message: {"temperature": 34.695439426037375}
INFO:root:send message: {"temperature": 34.761633570991265}
INFO:root:send message: {"temperature": 34.82773114300891}
INFO:root:send message: {"temperature": 34.89373228298394}
INFO:root:send message: {"temperature": 34.95963713160439}
INFO:root:send message: {"temperature": 35.025445829353075}
INFO:root:send message: {"temperature": 35.09115851650783}
